"short_name","npc_name","respawn_seconds"
"greatdivide","Korf Brokenhammer",""
"greatdivide","Relik",""
"greatdivide","Shardtooth",""
"greatdivide","Shardwurm Broodmother",""
"greatdivide","Shardwurm Matriarch",""
"greatdivide","a Tizmak Spiritcaller",""
"greatdivide","Vluudeen",""
"greatdivide","Vores the Hunter",""
"greatdivide","Yaka Razorhoof",""
"growthplane","Ancient Totem",""
"growthplane","Ail the Elder",""
"growthplane","Fayl Everstrong",""
"growthplane","Farstride Unicorn",""
"growthplane","Prince Thirneg",""
"growthplane","Galiel Spirithoof",""
"growthplane","Grahl Strongback",""
"growthplane","A Phase Puma",""
"growthplane","Ordro",""
"growthplane","Sarik the Fang",""
"growthplane","Treah Greenroot",""
"growthplane","Undogo Digolo",""
"growthplane","Tunare","1"
"gukbottom","a basalt gargoyle",""
"gukbottom","Raster of Guk",""
"gukbottom","a frenzied ghoul",""
"gukbottom","a froglok crusader",""
"gukbottom","a froglok herbalist",""
"gukbottom","the froglok king",""
"gukbottom","a froglok noble",""
"gukbottom","a yun priest",""
"gukbottom","a froglok tactician",""
"gukbottom","the ghoul arch magus",""
"gukbottom","a ghoul assassin",""
"gukbottom","a ghoul cavalier",""
"gukbottom","a ghoul executioner",""
"gukbottom","the ghoul lord",""
"gukbottom","a ghoul ritualist",""
"gukbottom","a ghoul sage",""
"gukbottom","a ghoul savant",""
"gukbottom","a ghoul scribe",""
"gukbottom","a ghoul sentinel",""
"gukbottom","a ghoul supplier",""
"gukbottom","a huge water elemental",""
"gukbottom","a minotaur elder",""
"gukbottom","a minotaur patriarch",""
"gukbottom","a reanimated hand",""
"gukbottom","Slaythe the Slayer",""
"guktop","a froglok gaz squire",""
"guktop","a froglok idealist",""
"guktop","a froglok realist",""
"guktop","a froglok necromancer",""
"guktop","a froglok scryer",""
"guktop","a froglok summoner",""
"guktop","a froglok nokta shaman",""
"guktop","a froglok shin knight",""
"guktop","the froglok shin lord",""
"guktop","Tempus",""
"guktop","a giant heart spider",""
"hateplane","Ashenbone Broodmaster",""
"hateplane","Avatar of Abhorrence",""
"hateplane","Coercer T`vala",""
"hateplane","Grandmaster R`Tal",""
"hateplane","High Priest M`kari",""
"hateplane","Lord of Ire",""
"hateplane","Lord of Loathing",""
"hateplane","Magi P`Tasa",""
"hateplane","Master of Spite",""
"hateplane","Mistress of Scorn",""
"hateplane","Maestro of Rancor",""
"hateplane","Innoruuk",""
"highkeep","Captain Boshinko","360"
"highkeep","Mistress Anna",""
"highkeep","Osargen",""
"highkeep","Princess Lenia",""
"highpass","Cyrla Shadowstepper",""
"highpass","Dyllin Starsine",""
"highpass","Hagnis Shralok",""
"highpass","Recfek Shralok",""
"highpass","Vopuk Shralok",""
"highpass","Vexven Mucktail","1320"
"highpass","Grenix Mucktail","1320"
"highpass","Barn Bloodstone",""
"hole","Bejeweled Elemental",""
"hole","Commander Yarik",""
"hole","Caradon",""
"hole","Dartain the Lost",""
"hole","Ghost of Kindle",""
"hole","Ghost of Glohnor",""
"hole","Gibartik",""
"hole","High Scale Kirn",""
"hole","Initiate Sirlis",""
"hole","Irslak the Wretched",""
"hole","Jaeil the Wretched",""
"hole","Keeper of the Tombs",""
"hole","Kejar the Mighty",""
"hole","Master Yael",""
"hole","Niltoth the Unholy",""
"hole","Nortlav the Scalekeeper",""
"hole","Polzin Mrid",""
"hole","a ratman guard",""
"hole","Rocksoul",""
"hole","Schnozz the Flighty",""
"hole","Stonegrinder Minion",""
"hole","Stonesoul the Unmoving",""
"hole","Ulrik the Devout",""
"iceclad","Balix Misteyes",""
"iceclad","Corudoth",""
"iceclad","Garou",""
"iceclad","Lodizal",""
"iceclad","Midnight",""
"iceclad","Pulsating Icestorm",""
"iceclad","Stormfeather",""
"innothule","Bunk Oden",""
"innothule","Jojoojojgogogoguna",""
"innothule","Jyle Windstorm",""
"innothule","Jojongua",""
"innothule","Zimbittle",""
"innothule","a troll slayer",""
"innothule","Spore Guardian",""
"innothule","Lynuga",""
"kael","The Avatar of War",""
"kael","The Statue of Rallos Zek",""
"kael","Derakor the Vindicator","25200"
"kael","King Tormax",""
"kael","Bjrakor the Cold",""
"kael","Captain Bvellos",""
"kael","Gkrean Prophet of Tallon",""
"kael","Semkak Prophet of Vallon",""
"kael","Gorul Longshanks",""
"kael","Keldor Dek`Torek","64800"
"kael","Noble Helssen",""
"kael","Slaggak the Trainer",""
"kael","Staff Sergeant Drioc",""
"kael","Vkjor",""
"kael","Wenglawks Kkeak",""
"kael","Bygloirn Omorden",""
"kael","Dagron Stonecutter",""
"kael","Barlek Stonefist",""
"kael","Gragek Mjlorkigar",""
"kael","Kelenek Bluadfeth",""
"kael","Veldern Blackhammer",""
"kael","Kragek Thunderforge",""
"kael","Stoem Lekbar",""
"kael","Bjarorm Mjlorn",""
"kael","Ulkar Jollkarek",""
"kael","Vylleam Vyaeltor",""
"kael","Jaglorm Ygorr",""
"kael","Yeeldan Spiritcaller",""
"kaesora","Hungered Ravener",""
"kaesora","failed crypt raider",""
"kaesora","Frenzied Strathbone",""
"kaesora","Reaver of Xalgoz",""
"kaesora","spectral guardian",""
"kaesora","spectral librarian",""
"kaesora","Strathbone Runelord",""
"kaesora","tortured librarian",""
"kaesora","Warder of Xalgoz",""
"kaesora","Xalgoz",""
"karnor","Caller of Sathir",""
"karnor","A construct",""
"karnor","Construct of Sathir",""
"karnor","a cursed hand",""
"karnor","a drolvarg captain",""
"karnor","A Drolvarg Pawbuster",""
"karnor","a Drolvarg warlord",""
"karnor","Hangnail",""
"karnor","a human skeleton",""
"karnor","Knight of Sathir",""
"karnor","Sentry of Sathir",""
"karnor","Skeletal Berserker",""
"karnor","Skeletal Captain",""
"karnor","Skeletal Caretaker",""
"karnor","Skeletal Scryer",""
"karnor","skeletal warlord",""
"karnor","Spectral Turnkey",""
"karnor","Undead Jailor",""
"karnor","Venril Sathir",""
"karnor","Venril Sathir Remains",""
"karnor","Verix Kyloxs Remains",""
"kedge","Phinigel Autropos",""
"kedge","Cauldronboil",""
"kedge","Cauldronbubble",""
"kedge","Coralyn Kelpmaiden",""
"kedge","Estrella of Gloomwater",""
"kedge","Fierce Impaler",""
"kedge","a ferocious cauldron shark",""
"kedge","Frenzied Cauldron Shark",""
"kedge","Golden Haired Mermaid",""
"kedge","Stiletto Fang Piranha",""
"kedge","Seahorse Patriarch",""
"kedge","Seahorse Matriarch",""
"kedge","Shellara Ebbhunter",""
"kedge","Undertow",""
"kedge","Swirlspine",""
"kithicor","Ged Twigborn",""
"kithicor","Mildin Whistler",""
"kithicor","Chief Gan`Shralok",""
"kithicor","Recfek Shralok",""
"kithicor","and the other Shralok Orcs",""
"kithicor","Thumper",""
"kithicor","Irin Lunis",""
"kithicor","Leaf Falldim",""
"kithicor","Kithicor",""
"kithicor","Eenot",""
"kithicor","Kobb",""
"kithicor","Giz X`Tin",""
"kurn","Bargynn",""
"kurn","Burynai Forager",""
"kurn","fingered skeleton",""
"kurn","an odd mole",""
"kurn","a skeletal cook",""
"kurn","thick boned skeleton",""
"kurn","undead crusader",""
"kurn","an undead jester",""
"lakeofillomen","a sarnak courier",""
"lakeofillomen","Professor Akabao",""
"lakeofillomen","Chancellor of Di`Zok","7200"
"lakeofillomen","Lord Gorelik",""
"lakeofillomen","Advisor Sh'Orok",""
"lavastorm","Deep Lava Basilisk",""
"lavastorm","Eejag",""
"lavastorm","Hykallen",""
"lavastorm","A lesser nightmare",""
"lavastorm","Sir Lindeal",""
"lavastorm","a warbone monk",""
"lavastorm","a warbone spearman",""
"mistmoore","an advisor","14400"
"mistmoore","an avenging caitiff",""
"mistmoore","Black Dire",""
"mistmoore","Butler Syncall",""
"mistmoore","a cloaked dhampyre",""
"mistmoore","a deathly usher",""
"mistmoore","Enynti",""
"mistmoore","Garton Viswin",""
"mistmoore","a glyphed ghoul",""
"mistmoore","an imp familiar",""
"mistmoore","Lasna Cheroon",""
"mistmoore","Maid Issis",""
"mistmoore","Mayong Mistmoore",""
"mistmoore","Mynthi Davissi",""
"mistmoore","Princess Cherista",""
"mistmoore","Ssynthi",""
"mistmoore","Xicotl",""
"najena","Akksstaff",""
"najena","BoneCracker",""
"najena","Drelzna",""
"najena","Ekeros",""
"najena","Linara Parlone",""
"najena","Moosh",""
"najena","Najena",""
"najena","Officer Grush",""
"najena","Rathyl",""
"najena","Rathyl reincarnate",""
"najena","Trazdon",""
"najena","a visiting priestess",""
"najena","The Widowmistress",""
"necropolis","Zlandicar",""
"necropolis","A Paebala Spirit Talker",""
"necropolis","Dominator Yisaki",""
"necropolis","Garzicor's Wraith",""
"necropolis","Jaled Dar`s Shade",""
"necropolis","Neb",""
"necropolis","Queen Raltaas",""
"necropolis","Seeker Bulava",""
"necropolis","Vaniki",""
"necropolis","Vilefang",""
"necropolis","Warmaster Utvara",""
"nektulos","Leatherfoot Deputy",""
"nektulos","Leatherfoot Medic",""
"nektulos","Kirak Vil",""
"northkarana","Xanuusus",""
"northkarana","Ashenpaw",""
"northkarana","Zahal the Vile",""
"northkarana","GrimFeather",""
"northkarana","Swiftclaw",""
"northkarana","Lieutenant Midraim",""
"northkarana","The Silver Griffon",""
"northkarana","Timbur the Tiny",""
"northkarana","Korvik the Cursed",""
"nro","Dorn B`Dynn",""
"nro","Dunedigger",""
"nro","Rahotep",""
"nurga","Overseer Dlubish",""
"nurga","A Sleeping Ogre",""
"nurga","Trunt",""
"oasis","Cazel",""
"oasis","Hatar",""
"oasis","Lockjaw",""
"oasis","Young Ronin",""
"oot","Capt Surestout",""
"oot","Nerbilik",""
"oot","Oracle of K`Arnon",""
"oot","Boog Mudtoe",""
"oot","Gornit",""
"oot","Sentry Xyrin",""
"oot","Gull Skytalon","28800"
"oot","Allizewsaur",""
"oot","Ancient Cyclops",""
"oot","Brawn",""
"oot","Quag Maelstrom",""
"oot","Seplawishinl Bladeblight",""
"oot","Soarin Brightfeather",""
"oot","tainted seafury cyclops",""
"oot","corrupted seafury cyclops",""
"oot","Wiltin Windwalker",""
"oot","A Goblin",""
"overthere","Admiral Tylix",""
"overthere","Captain Rottgrime",""
"overthere","General V`Deers",""
"overthere","Impaler Tzilug",""
"overthere","Tourmaline",""
"overthere","Corundium",""
"overthere","Stishovite",""
"overthere","Tektite",""
"overthere","A Cliff Golem",""
"paw","Brother Hayle",""
"paw","The Ishva Mal","1680"
"paw","Kurrpok Splitpaw",""
"paw","Tesch Val Kadvem",""
"paw","Tesch Val Deval`Nmak",""
"paw","Nisch Val Torash Mashk",""
"paw","Rosch Val L'Vlor",""
"permafrost","Lady Vox",""
"permafrost","Priest of Nagafen",""
"permafrost","High Priest Zaharn",""
"permafrost","A goblin alchemist (Permafrost)",""
"permafrost","King Thex'Ka IV",""
"permafrost","Goblin Archeologist",""
"permafrost","Goblin Patriarch",""
"permafrost","Goblin Preacher",""
"permafrost","Goblin Jail Master",""
"permafrost","Goblin Scryer",""
"permafrost","Elite Honor Guard",""
"permafrost","Injured Polar Bear",""
"permafrost","Ice Goblin Champion",""
"permafrost","Ice Giant Diplomat",""
"rathemtn","Ankhefenmut",""
"rathemtn","Findlegrob",""
"rathemtn","Sindlegrob",""
"rathemtn","Bindlegrob",""
"rathemtn","Blackwing",""
"rathemtn","Broog Bloodbeard",""
"rathemtn","Brother Zephyl",""
"rathemtn","Grazhak the Berserker",""
"rathemtn","Hasten Bootstrutter",""
"rathemtn","Maldyn the Unkempt",""
"rathemtn","monstrous zombie",""
"rathemtn","Mortificator Syythrak",""
"rathemtn","Oculys Ogrefiend",""
"rathemtn","Petrifin",""
"rathemtn","Quid Rilstone",""
"rathemtn","Rharzar",""
"rathemtn","Shardwing",""
"rathemtn","Tarskuk",""
"rathemtn","Theodast Wuggmump",""
"rathemtn","Zazamoukh",""
"rivervale","Ankhefenmut",""
"rivervale","Findlegrob",""
"rivervale","Sindlegrob",""
"rivervale","Bindlegrob",""
"rivervale","Blackwing",""
"rivervale","Broog Bloodbeard",""
"rivervale","Brother Zephyl",""
"rivervale","Grazhak the Berserker",""
"rivervale","Hasten Bootstrutter",""
"rivervale","Maldyn the Unkempt",""
"rivervale","monstrous zombie",""
"rivervale","Mortificator Syythrak",""
"rivervale","Oculys Ogrefiend",""
"rivervale","Petrifin",""
"rivervale","Quid Rilstone",""
"rivervale","Rharzar",""
"rivervale","Shardwing",""
"rivervale","Tarskuk",""
"rivervale","Theodast Wuggmump",""
"rivervale","Zazamoukh",""
"runnyeye","Borxx",""
"runnyeye","an Evil Eye prisoner",""
"runnyeye","Sludge Dankmire",""
"runnyeye","A Goblin Captain",""
"runnyeye","Goblin Warlord",""
"runnyeye","The Goblin King",""
"runnyeye","Slime Elemental",""
"runnyeye","Gelatinous Cube",""
"sebilis","Arch Duke Iatol",""
"sebilis","Baron Yosig",""
"sebilis","blood of chottal",""
"sebilis","Brogg",""
"sebilis","crypt caretaker",""
"sebilis","Emperor Chottal",""
"sebilis","frenzied pox scarab",""
"sebilis","Froggy",""
"sebilis","froglok armorer",""
"sebilis","froglok armsman",""
"sebilis","froglok chef",""
"sebilis","froglok commander",""
"sebilis","froglok ostiary",""
"sebilis","froglok pickler",""
"sebilis","froglok repairer",""
"sebilis","Gangrenous scarab",""
"sebilis","Gruplinort",""
"sebilis","Harbinger Freglor",""
"sebilis","Hierophant Prime Grekal",""
"sebilis","myconid spore king",""
"sebilis","a necrosis scarab",""
"sebilis","sebilite protector","9900"
"sebilis","Tolapumj","9900"
"sebilis","Trakanon",""
"sirens","Elna Kelpweaver",""
"sirens","Fellspine",""
"sirens","Helsia Mindreaver",""
"sirens","Mistress Latazura",""
"sirens","Priestess Sercema",""
"sirens","Shimmering Sea Spirit",""
"sirens","Ulth the Enraged",""
"skyfire","Black Scar",""
"skyfire","Eldrig the Old",""
"skyfire","Faerie of Dismay",""
"skyfire","Felia Goldenwing",""
"skyfire","Guardian of Felia",""
"skyfire","Jennus Lyklobar",""
"skyfire","a lava walker",""
"skyfire","a shadow drake",""
"skyfire","a soul devourer",""
"skyfire","Talendor",""
"skyfire","a wandering wurm",""
"skyfire","a wurm spirit",""
"skyshrine","Ziglark Whisperwing",""
"skyshrine","Lord Yelinak",""
"sleeper","Kerafyrm",""
"sleeper","The Progenitor",""
"sleeper","The Final Arbiter",""
"sleeper","Master of the Guard",""
"sleeper","Hraashna the Warder",""
"sleeper","Nanzata the Warder",""
"sleeper","Tukaarak the Warder",""
"sleeper","Ventani the Warder",""
"soldunga","Captain Bipnubble",""
"soldunga","CWG Model EXG",""
"soldunga","Fire Goblin Bartender",""
"soldunga","Inferno Goblin Captain",""
"soldunga","Fire Goblin Drunkard",""
"soldunga","Goblin High Shaman",""
"soldunga","Solusek Goblin King",""
"soldunga","Gabbie Mardoddle",""
"soldunga","flame goblin foreman",""
"soldunga","Inferno Goblin Torturer",""
"soldunga","Kindle",""
"soldunga","Kobold predator",""
"soldunga","lava elemental",""
"soldunga","Lord Gimblox",""
"soldunga","Lynada the Exiled",""
"soldunga","Marfen Binkdirple",""
"soldunga","Reckless Efreeti",""
"soldunga","Singe",""
"soldungb","death beetle",""
"soldungb","Efreeti Lord Djarn",""
"soldungb","guano harvester",""
"soldungb","King Tranix","28800"
"soldungb","kobold champion",""
"soldungb","kobold noble",""
"soldungb","kobold priest",""
"soldungb","Lord Nagafen",""
"soldungb","Midghh the Dark",""
"soldungb","Magi Rokyl","28800"
"soldungb","noxious spider",""
"soldungb","Solusek kobold king",""
"soldungb","stone spider",""
"soldungb","Targin the Rock",""
"soldungb","Warlord Skarlon","28800"
"soldungb","Zordak Ragefire",""
"southkarana","Baenar Swiftsong",""
"southkarana","Brother Drash",""
"southkarana","Brother Qwinn",""
"southkarana","Coloth Meadowgreen",""
"southkarana","Cracktusk",""
"southkarana","Ghanex Drah",""
"southkarana","Gnashmaw",""
"southkarana","Gnawfang",""
"southkarana","Grizzleknot",""
"southkarana","Groi Gutblade",""
"southkarana","Knari Morawk",""
"southkarana","Krak Windchaser",""
"southkarana","Kroldir Thunderhoof",""
"southkarana","Lord Grimrot",""
"southkarana","Marik Clubthorn",""
"southkarana","Mroon",""
"southkarana","Narra Tanith",""
"southkarana","Quillmane",""
"southkarana","Sentry Alechin",""
"southkarana","Synger Foxfyre",""
"southkarana","Undead Cyclops",""
"southkarana","Vhalen Nostrolo",""
"sro","Ancient Cyclops",""
"sro","Erg Bluntbruiser",""
"sro","Ortallius",""
"sro","Rathmana Allin",""
"sro","Sandgiant Husam",""
"sro","Scrounge",""
"sro","Terrorantula",""
"sro","Young Ronin",""
"steamfont","Feddi Dooger",""
"steamfont","A Kobold Missionary",""
"steamfont","Meldrath The Malignant",""
"steamfont","Minotaur Hero",""
"steamfont","Minotaur Lord",""
"steamfont","Renux Herkanor",""
"steamfont","Nilit's contraption",""
"stonebrunt","Arglar the Tormentor",""
"stonebrunt","Ghost of Ridossan",""
"stonebrunt","Giang Yin",""
"stonebrunt","a heretic invader",""
"stonebrunt","Hurglak the Destroyer",""
"stonebrunt","Mirabai",""
"stonebrunt","Miranda",""
"stonebrunt","Khonza Ayssla",""
"stonebrunt","Mrowro Wirewhisker",""
"stonebrunt","Old Ghostback",""
"stonebrunt","Prowler of the Jungle",""
"stonebrunt","Rognarog the Infuriated",""
"stonebrunt","Saemey Wirewhisker",""
"stonebrunt","Slyder the Ancient",""
"stonebrunt","Snowbeast",""
"swampofnohope","Bloodgorge",""
"swampofnohope","an escaped froglok",""
"swampofnohope","Deadeye",""
"swampofnohope","Dreesix Ghoultongue",""
"swampofnohope","Dugroz",""
"swampofnohope","Fakraa the Forsaken",""
"swampofnohope","Fangor",""
"swampofnohope","Frayk",""
"swampofnohope","Froglok Repairer",""
"swampofnohope","Froszik the Impaler",""
"swampofnohope","Grik the Exiled",""
"swampofnohope","Grimewurm",""
"swampofnohope","Grizshnok",""
"swampofnohope","Soblohg",""
"swampofnohope","Two Tails",""
"swampofnohope","Ulump Pujluk",""
"swampofnohope","Venomwing",""
"templeveeshan","Casalen",""
"templeveeshan","Dozekar the Cursed",""
"templeveeshan","Essedera",""
"templeveeshan","Grozzmel",""
"templeveeshan","Krigara",""
"templeveeshan","Lepethida",""
"templeveeshan","Midayor",""
"templeveeshan","Tavekalem",""
"templeveeshan","Ymmeln",""
"templeveeshan","Gozzrem",""
"templeveeshan","Lendiniara the Keeper",""
"templeveeshan","Telkorenar",""
"templeveeshan","Cekenar",""
"templeveeshan","Dagarn the Destroyer",""
"templeveeshan","Eashen of the Sky",""
"templeveeshan","Ikatiar the Venom",""
"templeveeshan","Jorlleag",""
"templeveeshan","Lady Mirenilla",""
"templeveeshan","Lady Nevederia",""
"templeveeshan","Lord Feshlak",""
"templeveeshan","Lord Koi'Doken",""
"templeveeshan","Lord Kreizenn",""
"templeveeshan","Lord Vyemm",""
"templeveeshan","Sevalak",""
"templeveeshan","Vulak`Aerr",""
"templeveeshan","Zlexak",""
"thurgadinb","Dain Frostreaver IV,",""
"thurgadinb","Glucose",""
"thurgadinb","Grizznot",""
"timorous","Faydedar",""
"timorous","The Great Oowomp",""
"timorous","Halara",""
"timorous","an Iksar master",""
"timorous","Ugrak da Raider",""
"timorous","Xiblin Fizzlebik",""
"timorous","Alrik Farsight",""
"trakanon","Bloodeye",""
"trakanon","Champion Arlek",""
"trakanon","Champion Thenrin",""
"trakanon","Commander Sils",""
"trakanon","Crusader Zoglic",""
"trakanon","Doom",""
"trakanon","Dragontail",""
"trakanon","Dreadlord Fanrik",""
"trakanon","Ebon Lotus",""
"trakanon","Emperor Ganak",""
"trakanon","Fallen Iksar",""
"trakanon","Ffroaak",""
"trakanon","froglok forager",""
"trakanon","froglok hunter",""
"trakanon","Hangman",""
"trakanon","Harbinger Dronik",""
"trakanon","Harbinger Josk",""
"trakanon","A human skeleton",""
"trakanon","Klok Denris",""
"trakanon","Knight Dragol",""
"trakanon","Pained Soul",""
"trakanon","Sigra",""
"trakanon","Silvermane",""
"trakanon","Squire Glik",""
"trakanon","Stonebeak",""
"trakanon","Throkkok",""
"trakanon","Thruke",""
"trakanon","Titail Sinok",""
"trakanon","Trakanasaurus Rex",""
"trakanon","Vessel Fryn",""
"unrest","Garanel Rucksif",""
"unrest","a priest of najena",""
"unrest","Khrix Fritchoff",""
"unrest","Khrix's Abomination",""
"unrest","Torklar Battlemaster",""
"unrest","Shadowpincer",""
"unrest","reclusive ghoul magus",""
"veeshan","Druushk",""
"veeshan","Hoshkar",""
"veeshan","Nexona",""
"veeshan","Phara Dar",""
"veeshan","Silverwing",""
"veeshan","Xygoz",""
"velketor","Lord Doljonijiarnimorinar",""
"velketor","Velketor the Sorcerer",""
"velketor","A Frenzied Velium Broodling",""
"velketor","A Frenzied Velium Stalker",""
"velketor","Bled",""
"velketor","Bledrek",""
"velketor","Crystal Eyes",""
"velketor","Crystal Fang",""
"velketor","Errkak Icepaw",""
"velketor","Failed Experiment",""
"velketor","Gregendek Icepaw",""
"velketor","Jelek Icepaw",""
"velketor","Kalik Icepaw",""
"velketor","Kerd",""
"velketor","Kerdelb",""
"velketor","Khelkar Icepaw",""
"velketor","Laryk Icepaw",""
"velketor","Leljemor",""
"velketor","Marlek Icepaw",""
"velketor","Meljemor",""
"velketor","Rijoely",""
"velketor","Rowwek Icepaw",""
"velketor","The Brood Master",""
"velketor","The Brood Mother",""
"velketor","Tijoely",""
"velketor","Tpos Icepaw",""
"velketor","Ular Icepaw",""
"velketor","Velketor's Experiment",""
"velketor","Venar Icepaw",""
"wakening","Wuoshi",""
"wakening","A Storm Giant Foreman",""
"wakening","A storm giant surveyor","420"
"wakening","Corrupted Faun",""
"wakening","Corrupted Panther",""
"wakening","Countess Silveana",""
"wakening","Eysa Florawhisper",""
"wakening","Frostgiant Overseer",""
"wakening","Grand Vizier Poolakacha`tei",""
"wakening","Korzak Stonehammer",""
"wakening","Lady Gelistial",""
"wakening","Lieutenant Krofer",""
"wakening","Lord Gossimerwind",""
"wakening","Lord Prismwing",""
"wakening","Phenocryst",""
"wakening","Priest Bjek",""
"wakening","Priest Delar",""
"wakening","Priest Grenk",""
"wakening","Rolandal",""
